id,country,region,date,lockdown,ref
217,South Africa,,26/03/2020,Full,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html
218,Spain,,14/03/2020,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
219,Sri Lanka,,21/03/2020,Full,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html
220,Sudan,,,None,
221,Suriname,,,None,
222,Sweden,,,None,
223,Switzerland,,18/03/2020,Full,https://www.cnnmoney.ch/shows/big-picture/videos/switzerland-desperate-race-stay-ahead-coronavirus
224,Syria,,14/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Syria
225,Taiwan*,,02/02/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Taiwan
226,Tanzania,,,None,
227,Thailand,,22/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Thailand
228,Timor-Leste,,,None,
229,Togo,,20/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Togo
230,Trinidad and Tobago,,13/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Trinidad_and_Tobago
231,Tunisia,,20/03/2020,Full,https://www.france24.com/en/20200320-tunisia-orders-general-lockdown-in-bid-to-contain-coronavirus
232,Turkey,,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Turkey
233,Uganda,,18/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uganda
234,Ukraine,,17/03/2020,Full,https://www.ukrinform.net/rubric-society/2899162-ten-facts-about-coronavirus-lockdown-in-ukraine.html
235,United Arab Emirates,,24/03/2020,Full,https://uk.reuters.com/article/uk-health-coronavirus-saudi/saudi-reports-first-coronavirus-death-uae-gears-up-for-lockdown-idUKKBN21B1YM
236,United Kingdom,Anguilla,18/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Anguilla
237,United Kingdom,Bermuda,,None,
238,United Kingdom,British Virgin Islands,,None,
239,United Kingdom,Cayman Islands,,None,
240,United Kingdom,Channel Islands,,None,
241,United Kingdom,Gibraltar,24/03/2020,Full,https://www.theolivepress.es/spain-news/2020/03/22/full-lockdown-in-gibraltar-from-tuesday-morning-as-coronavirus-spikes/
242,United Kingdom,Isle of Man,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Isle_of_Man
243,United Kingdom,Montserrat,,None,
244,United Kingdom,Turks and Caicos Islands,27/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Turks_and_Caicos_Islands
245,United Kingdom,,23/03/2020,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
